Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,Count,WAP,Minute,Decision,EXECUTE,DATE,EXECUTE
AUD,20200616  09:30:00,0.6932,0.6934,0.6929,0.693,594,268,0.69306,30,NO,NO,20200616,0
AUD,20200616  09:35:00,0.693,0.6931,0.6924,0.6927,822,324,0.69269,35,NO,NO,20200616,0
AUD,20200616  09:40:00,0.6927,0.6934,0.6924,0.6933,659,270,0.69287,40,NO,NO,20200616,0
AUD,20200616  09:45:00,0.6933,0.6938,0.6932,0.6933,808,337,0.69362,45,NO,NO,20200616,0
AUD,20200616  09:50:00,0.6934,0.6935,0.6925,0.693,540,253,0.69295,50,NO,NO,20200616,0
AUD,20200616  09:55:00,0.693,0.6936,0.693,0.6933,526,224,0.69321,55,NO,NO,20200616,0
AUD,20200616  10:00:00,0.6933,0.6934,0.6929,0.6933,526,207,0.69318,0,NO,NO,20200616,0
AUD,20200616  10:05:00,0.6933,0.6939,0.6929,0.6929,624,268,0.69334,5,NO,NO,20200616,0
AUD,20200616  10:10:00,0.6929,0.6932,0.6927,0.6931,501,225,0.69296,10,NO,NO,20200616,0
AUD,20200616  10:15:00,0.6932,0.6934,0.6915,0.6916,1412,491,0.69236,15,NO,NO,20200616,0
AUD,20200616  10:20:00,0.6915,0.6917,0.6909,0.6916,962,382,0.69133,20,NO,NO,20200616,0
AUD,20200616  10:25:00,0.6917,0.6927,0.6916,0.6922,672,290,0.69216,25,NO,NO,20200616,0
AUD,20200616  10:30:00,0.6923,0.6924,0.6916,0.6916,583,243,0.69193,30,NO,NO,20200616,0
AUD,20200616  10:35:00,0.6916,0.6916,0.689,0.6896,3124,1168,0.68999,35,NO,NO,20200616,0
AUD,20200616  10:40:00,0.6896,0.6897,0.6877,0.6885,3408,1125,0.68848,40,NO,NO,20200616,0
AUD,20200616  10:45:00,0.6885,0.6888,0.6875,0.6881,2203,798,0.68817,45,NO,NO,20200616,0
AUD,20200616  10:50:00,0.6881,0.6883,0.6852,0.6859,3445,1204,0.68658,50,NO,NO,20200616,0
AUD,20200616  10:55:00,0.6859,0.6862,0.6843,0.6847,4522,1612,0.68503,55,NO,NO,20200616,0
AUD,20200616  11:00:00,0.6847,0.6855,0.6832,0.6854,4952,1713,0.68424,0,NO,NO,20200616,0
AUD,20200616  11:05:00,0.6854,0.6866,0.6853,0.6861,2696,1016,0.68591,5,NO,NO,20200616,0
AUD,20200616  11:10:00,0.6861,0.6867,0.6852,0.6865,1979,748,0.68592,10,NO,NO,20200616,0
AUD,20200616  11:15:00,0.6866,0.6875,0.6864,0.6868,1787,645,0.68709,15,BUY,NO,20200616,0
AUD,20200616  11:20:00,0.6867,0.6879,0.6864,0.6875,1232,438,0.68714,20,BUY,NO,20200616,0
AUD,20200616  11:25:00,0.6874,0.6883,0.6873,0.6881,1081,407,0.68764,25,BUY,NO,20200616,0
AUD,20200616  11:30:00,0.6882,0.6888,0.6875,0.6884,1085,404,0.68824,30,NO,NO,20200616,0
AUD,20200616  11:35:00,0.6885,0.6885,0.6876,0.688,773,304,0.68799,35,NO,NO,20200616,0
AUD,20200616  11:40:00,0.6879,0.688,0.6873,0.6878,591,255,0.68777,40,NO,NO,20200616,0
AUD,20200616  11:45:00,0.6879,0.689,0.6877,0.6887,857,324,0.68837,45,NO,NO,20200616,0
AUD,20200616  11:50:00,0.6888,0.6891,0.6883,0.6885,566,235,0.68867,50,NO,NO,20200616,0
AUD,20200616  11:55:00,0.6885,0.6887,0.688,0.6886,378,187,0.68831,55,SELL,NO,20200616,0
AUD,20200616  12:00:00,0.6887,0.6889,0.6878,0.6883,776,301,0.68825,0,SELL,NO,20200616,0
AUD,20200616  12:05:00,0.6884,0.6884,0.6878,0.6882,443,198,0.688,5,SELL,NO,20200616,0
AUD,20200616  12:10:00,0.6883,0.6886,0.688,0.6886,225,113,0.68829,10,SELL,NO,20200616,0
AUD,20200616  12:15:00,0.6886,0.6888,0.6882,0.6884,337,148,0.68846,15,NO,NO,20200616,0
AUD,20200616  12:20:00,0.6885,0.6892,0.6885,0.6891,351,174,0.68881,20,BUY,NO,20200616,0
AUD,20200616  12:25:00,0.6892,0.6894,0.6891,0.6892,314,128,0.68929,25,BUY,NO,20200616,0
AUD,20200616  12:30:00,0.6891,0.6898,0.6891,0.6897,264,120,0.68952,30,NO,NO,20200616,0
AUD,20200616  12:35:00,0.6897,0.6904,0.6897,0.6902,586,213,0.69012,35,NO,NO,20200616,0
AUD,20200616  12:40:00,0.6902,0.6903,0.69,0.6902,208,101,0.69017,40,NO,NO,20200616,0
AUD,20200616  12:45:00,0.6902,0.6903,0.6898,0.6899,211,109,0.69003,45,NO,NO,20200616,0
AUD,20200616  12:50:00,0.6898,0.6899,0.6896,0.6896,294,120,0.68982,50,NO,NO,20200616,0
AUD,20200616  12:55:00,0.6897,0.6899,0.6894,0.6895,629,242,0.68957,55,SELL,NO,20200616,0
AUD,20200616  13:00:00,0.6895,0.6896,0.689,0.689,529,191,0.68938,0,SELL,NO,20200616,0
AUD,20200616  13:05:00,0.689,0.6891,0.6888,0.689,352,132,0.68895,5,SELL,NO,20200616,0
AUD,20200616  13:10:00,0.689,0.6891,0.6887,0.6888,141,86,0.68888,10,NO,NO,20200616,0
AUD,20200616  13:15:00,0.6888,0.6891,0.6888,0.689,167,82,0.68898,15,NO,NO,20200616,0
AUD,20200616  13:20:00,0.689,0.689,0.6887,0.689,91,47,0.68885,20,NO,NO,20200616,0
AUD,20200616  13:25:00,0.689,0.689,0.6889,0.6889,81,48,0.68894,25,NO,NO,20200616,0
AUD,20200616  13:30:00,0.6889,0.689,0.6888,0.689,176,72,0.68892,30,BUY,NO,20200616,0
AUD,20200616  13:35:00,0.6889,0.6889,0.6883,0.6884,308,111,0.68859,35,BUY,NO,20200616,0
AUD,20200616  13:40:00,0.6883,0.6891,0.6883,0.6891,171,60,0.68878,40,BUY,NO,20200616,0
AUD,20200616  13:45:00,0.6891,0.6892,0.689,0.689,156,65,0.68912,45,BUY,NO,20200616,0
AUD,20200616  13:50:00,0.689,0.6893,0.6883,0.6883,264,107,0.68867,50,NO,NO,20200616,0
AUD,20200616  13:55:00,0.6883,0.6886,0.6882,0.6885,224,93,0.68839,55,SELL,NO,20200616,0
AUD,20200616  14:00:00,0.6885,0.689,0.6885,0.6888,219,126,0.68881,0,BUY,NO,20200616,0
AUD,20200616  14:05:00,0.6888,0.6893,0.6888,0.6892,123,59,0.68909,5,BUY,NO,20200616,0
AUD,20200616  14:10:00,0.6892,0.6898,0.6892,0.6895,283,106,0.68956,10,BUY,NO,20200616,0
AUD,20200616  14:15:00,0.6895,0.6898,0.6893,0.6894,522,219,0.68958,15,BUY,NO,20200616,0
AUD,20200616  14:20:00,0.6895,0.6895,0.688,0.689,1716,653,0.68878,20,NO,NO,20200616,0
AUD,20200616  14:25:00,0.6889,0.6892,0.6886,0.689,486,194,0.68892,25,NO,NO,20200616,0
AUD,20200616  14:30:00,0.689,0.6895,0.689,0.6894,335,156,0.68933,30,NO,NO,20200616,0
AUD,20200616  14:35:00,0.6893,0.6895,0.6892,0.6893,157,68,0.68933,35,NO,NO,20200616,0
AUD,20200616  14:40:00,0.6893,0.6894,0.6891,0.6892,132,71,0.6892,40,NO,NO,20200616,0
AUD,20200616  14:45:00,0.6892,0.6895,0.6889,0.6895,393,86,0.68923,45,NO,NO,20200616,0
AUD,20200616  14:50:00,0.6895,0.6895,0.689,0.6892,268,89,0.68927,50,SELL,NO,20200616,0
AUD,20200616  14:55:00,0.6893,0.6895,0.689,0.6895,455,177,0.68933,55,SELL,NO,20200616,0
AUD,20200616  15:00:00,0.6895,0.6896,0.6891,0.6892,611,176,0.68939,0,NO,NO,20200616,0
AUD,20200616  15:05:00,0.6892,0.6894,0.6884,0.6884,331,144,0.68883,5,SELL,NO,20200616,0
AUD,20200616  15:10:00,0.6884,0.6887,0.6882,0.6882,128,60,0.68834,10,SELL,NO,20200616,0
AUD,20200616  15:15:00,0.6882,0.6882,0.6875,0.6876,315,154,0.68791,15,SELL,NO,20200616,0
AUD,20200616  15:20:00,0.6877,0.6881,0.6877,0.6881,153,88,0.68799,20,NO,NO,20200616,0
AUD,20200616  15:25:00,0.6881,0.6886,0.6881,0.6885,205,106,0.6884,25,NO,NO,20200616,0
AUD,20200616  15:30:00,0.6885,0.689,0.6881,0.6889,277,125,0.68856,30,NO,NO,20200616,0
AUD,20200616  15:35:00,0.6888,0.6888,0.6884,0.6885,78,43,0.68859,35,NO,NO,20200616,0
AUD,20200616  15:40:00,0.6886,0.6886,0.688,0.6881,209,83,0.68826,40,BUY,NO,20200616,0
AUD,20200616  15:45:00,0.6881,0.6884,0.688,0.6883,123,67,0.68816,45,NO,NO,20200616,0
AUD,20200616  15:50:00,0.6882,0.6886,0.6881,0.6884,234,116,0.68837,50,NO,NO,20200616,0
AUD,20200616  15:55:00,0.6883,0.689,0.6882,0.689,259,98,0.68848,55,NO,NO,20200616,0
AUD,20200616  16:00:00,0.6889,0.6889,0.6886,0.6887,100,54,0.68876,0,BUY,NO,20200616,0
AUD,20200616  16:05:00,0.6886,0.6889,0.6886,0.6889,85,32,0.68875,5,BUY,NO,20200616,0
AUD,20200616  16:10:00,0.6889,0.6892,0.6889,0.6891,116,53,0.68909,10,BUY,NO,20200616,0
AUD,20200616  16:15:00,0.689,0.689,0.6888,0.689,25,11,0.68895,15,NO,NO,20200616,0
AUD,20200616  16:20:00,0.689,0.6891,0.6889,0.689,27,11,0.689,20,NO,NO,20200616,0
AUD,20200616  16:25:00,0.689,0.6891,0.6888,0.6888,49,15,0.68887,25,NO,NO,20200616,0
AUD,20200616  16:30:00,0.6888,0.689,0.6888,0.689,68,22,0.68895,30,NO,NO,20200616,0
